name,generic_name,category,unit,description,side_effect,source_url
"Andexxa (Coagulation Factor Xa (recombinant), Inactivated-zhzo for Injection)","coagulation factor xa (recombinant), inactivated-zhzo for injection",Factor Xa Inhibitor Antidotes,"There are two dosing regimens of Andexxa: low dose and high dose. The low dose regimen is an initial IV bolus of 400 mg Andexxa at a target rate of 30 mg/min, with a follow-on IV infusion of 4 mg/min","Andexxa (coagulation factor Xa (recombinant), inactivated-zhzo) is a recombinant modified human Factor Xa (FXa) protein indicated for patients treated with rivaroxaban and apixaban, when reversal of anticoagulation is needed due to life-threatening or uncontrolled bleeding.","AndexXa may cause serious side effects including: hives, difficulty breathing, swelling of your face, lips, tongue, or throat, pain or burning when you urinate, cough with mucus, chest pain, shortness of breath, fever, chills, continued bleeding after treatment, sudden numbness or weakness, problems with vision or speech, swelling or redness in an arm or leg, chest pain or pressure, pain spreading to your jaw or shoulder, nausea, and sweating Get medical help right away, if you have any of the symptoms listed above. Common side effects of Andexxa include: urinary tract infections (UTIs), pneumonia, and infusion-related reactions Seek medical care or call 911 at once if you have the following serious side effects:",https://www.rxlist.com/andexxa-drug.htm
Androderm (Testosterone Transdermal System),testosterone transdermal system,ANDROGENS,The recommended starting dose is one Androderm 4 mg/day system (not two 2 mg/day systems) applied nightly for 24 hours.,Androderm (testosterone transdermal system) topical (for the skin) is a naturally occurring male hormone used to treat conditions in men that result from a lack of natural testosterone.,"Common side effects of Androderm include: redness, itching, burning, irritation, or hardened skin where the skin patch is worn; breast swelling or tenderness, increased acne or hair growth, headache, depressed mood, or changes in your sex drive. Tell your doctor if you have serious side effects of Androderm including: burn-like blistering of the skin where the transdermal patch is worn, skin irritation with patch-wearing that does not get better with time, problems with urination, swelling of your ankles, frequent/prolonged erections, nausea, stomach pain, low fever, loss of appetite, dark urine, clay-colored stools, or jaundice (yellowing of the skin or eyes).",https://www.rxlist.com/androderm-drug.htm
AndroGel (Testosterone Gel for Topical Use),testosterone gel for topical use,ANDROGENS,"The recommended starting dose of AndroGel is 5 g once daily to clean, dry, intact skin of the shoulders and upper arms and/or abdomen.","AndroGel (testosterone gel) is a form of the male hormone testosterone used to treat conditions in men that result from a lack of natural testosterone, a naturally occurring male hormone.","AndroGel may cause serious side effects including: increased urination, loss of bladder control, painful or difficult urination, breast pain or swelling, swelling, rapid weight gain, shortness of breath during sleep, chest pain or pressure, pain spreading to your jaw or shoulder, nausea, upper stomach pain, itching, tired feeling, loss of appetite, dark urine, clay-colored stools, yellowing of the skin or eyes, chest pain, sudden cough, wheezing, rapid breathing, coughing up blood, and swelling, warmth or redness in an arm or leg Get medical help right away, if you have any of the symptoms listed above. Common side effects of AndroGel include nausea, vomiting, headache, dizziness, hair loss, increased hair growth, trouble sleeping, changes in sexual desire, redness/swelling/itching/burning/hardening of the skin where the patch is worn, change in skin color, breast swelling or tenderness, depression, or acne Seek medical care or call 911 at once if you have the following serious side effects:",https://www.rxlist.com/androgel-drug.htm
AndroGel 1.62 (Testosterone Gel),testosterone gel,Androgens,The recommended starting dose of AndroGel 1.62% is 40.5 mg of testosterone (2 pump actuations) applied topically once daily in the morning to the shoulders and upper arms.,"AndroGel 1.62% (testosterone gel) is a form of the male sex hormone testosterone used for hormone replacement in men who are not able to produce enough testosterone (e.g., hypogonadism).","AndroGel 1.62 may cause serious side effects including: breast pain or enlargement, swelling of the feet or ankles, weight fain, slow or shallow breathing, difficulty breathing, weakness, trouble urinating, mood changes, depression, agitation, hostility, changes in size or shape of the testicles, testicle pain or tenderness, stomach pain, dark urine, yellowing of the eyes or skin (jaundice), changes in the amount of urine, calf tenderness, swelling, or pain, penis erection that is painful or lasting 4 or more hours, rash, itching, swelling of the face, tongue, or throat, and severe dizziness Get medical help right away, if you have any of the symptoms listed above. Common side effects of AndroGel 1.62% include: nausea, vomiting, headache, dizziness, hair loss, increased hair growth, trouble sleeping, changes in sexual desire, redness/swelling/itching/burning/hardening of the skin where the patch is worn, change in skin color, breast swelling or tenderness, depression, or acne. Tell your doctor if you have unlikely but serious side effects of AndroGel 1.62% including:",https://www.rxlist.com/androgel-162-drug.htm
Androxy (Fluoxymesterone Tablets),fluoxymesterone tablets,Anabolic Steroids,"Dosage and duration of therapy with Androxy will depend on age, sex, diagnosis, patient's response to treatment, and appearance of adverse effects.","Androxy (fluoxymesterone tablets) is a synthetic androgen indicated for replacement therapy in conditions associated with a deficiency or absence of endogenous testosterone, such as primary hypogonadism (congenital or acquired), hypogonadotropic hypogonadism (congenital or acquired), delayed puberty, and in women, metastatic mammary cancer.","Androxy may cause serious side effects including: hives, difficulty breathing, swelling of your face, lips, tongue, or throat, itching, red, swollen, blistered, or peeling skin with or without fever, wheezing, tightness in the chest or throat, trouble swallowing or talking, unusual hoarseness, weakness, confusion, tiredness, headache, upset stomach, vomiting, constipation, bone pain, shortness of breath, rapid weight gain, swelling in the arms or legs, change in color of skin, depression, burning, numbness, or tingling, penis erection that is painful or lasts 4 or more hours, deepened voice (in females), facial hair (in females), acne (in females), menstrual changes, dark urine, loss of appetite, stomach pain, clay-colored stools, and yellowing of the skin or eyes (jaundice) Get medical help right away, if you have any of the symptoms listed above. Common side effects of Androxy include: excess hair growth male pattern baldness acne electrolyte imbalance nausea yellowing of skin and eyes (jaundice) alterations in liver function tests increased or decreased libido headache anxiety depression numbness and tingling breast enlargement and prolonged erections in men, and in women menstrual irregularities inhibition of gonadotropin secretion deepening of the voice, and clitoral enlargement",https://www.rxlist.com/androxy-drug.htm
Anectine (Succinylcholine Chloride),succinylcholine chloride,"Neuromuscular Blockers, Depolarizing, Heme Oxygenase Inhibitors",The dosage of Anectine is individualized and determined by the clinician after careful assessment of the patient. Anectine is only administered by a physician.,"Anectine (succinylcholine chloride) is a skeletal muscle relaxant for intravenous (IV) administration indicated as an adjunct to general anesthesia, to facilitate tracheal intubation, and to provide skeletal muscle relaxation during surgery or mechanical ventilation.","Anectine may cause serious side effects including: cardiac arrest, life threatening elevation in body temperature, abnormal heart rhythms, fast or slow heart rate, high or low blood pressure, high blood potassium, prolonged slow breathing, increased eye pressure, muscle twitching, jaw rigidity, postoperative muscle pain, breakdown of muscle tissue (rhabdomyolysis), excessive salivation, and rash Get medical help right away, if you have any of the symptoms listed above. Common side effects of Anectine include muscle relaxation resulting in respiratory depression to the point of apnea (suspended or stopped breathing). Hypersensitivity reactions to Anectine, including severe allergic reaction (anaphylaxis), may occur in rare instances. Tell your doctor if you have serious side effects of Anectine including: cardiac arrest, life threatening elevation in body temperature, abnormal heart rhythms, fast or slow heart rate, high or low blood pressure, high blood potassium, prolonged slow breathing, increased eye pressure, muscle twitching, jaw rigidity, postoperative muscle pain, breakdown of muscle tissue (rhabdomyolysis), excessive salivation, and rash Seek medical care or call 911 at once if you have the following serious side effects:",https://www.rxlist.com/anectine-drug.htm
Anestacon (Lidocaine Hydrochloride Jelly),lidocaine hydrochloride jelly,"Anesthetics, Topical, Local Anesthetics, Amides","The dosage of Anestacon varies and depends upon the area to be anesthetized, vascularity of the tissues, individual tolerance, and the technique of anesthesia. The lowest dosage needed to provide effe","Anestacon (lidocaine hydrochloride jelly) is a topical local anesthetic agent indicated for prevention and control of pain in procedures involving the male and female urethra, for topical treatment of painful urethritis, and as an anesthetic lubricant for endotracheal intubation (oral and nasal).","Side effects of Anestacon are generally dose-related and may result from high plasma levels caused by excessive dosage or rapid absorption, or may result from a hypersensitivity, idiosyncrasy, or diminished tolerance on the part of the patient and may include: central nervous system (CNS) manifestations (lightheadedness, nervousness, apprehension, euphoria, confusion, dizziness, drowsiness, ringing in the ears, blurred or double vision, vomiting, sensations of heat, cold or numbness, twitching, tremors, convulsions, unconsciousness, respiratory depression, and arrest), cardiovascular manifestations (slow heart rate, low blood pressure, and cardiovascular collapse, which may lead to cardiac arrest), and allergic reactions (skin lesions, hives, edema, or anaphylactoid reactions). Seek medical care or call 911 at once if you have the following serious side effects: Serious eye symptoms such as sudden vision loss, blurred vision, tunnel vision, eye pain or swelling, or seeing halos around lights; Serious heart symptoms such as fast, irregular, or pounding heartbeats; fluttering in your chest; shortness of breath; and sudden dizziness, lightheadedness, or passing out; Severe headache, confusion, slurred speech, arm or leg weakness, trouble walking, loss of coordination, feeling unsteady, very stiff muscles, high fever, profuse sweating, or tremors. This document does not contain all possible side effects and others may occur. Check with your physician for additional information about side effects.",https://www.rxlist.com/anestacon-drug.htm
Angeliq (Drospirenone and Estradiol),drospirenone and estradiol,Estrogens/Progestins-HRT,The dosage of Angeliq is one tablet daily.,"Angeliq (drospirenone and estradiol) is a combination of female hormones used to treat the symptoms of menopause such as hot flashes or vaginal changes (itching, burning, dryness, urination problems). Angeliq is also used to prevent thinning of the bones (osteoporosis), and also treats the symptoms of premenstrual dysphoric disorder (PMDD).","Angeliq may cause serious side effects including: hives, difficulty breathing, swelling of your face, lips, tongue, or throat, chest pain or pressure, pain spreading to your jaw or shoulder, nausea, sweating, sudden numbness or weakness (especially on one side of the body), sudden severe headache, slurred speech, problems with vision, poor balance, sudden vision loss, stabbing chest pain, shortness of breath, coughing up blood, pain or warmth in one or both legs, swelling, rapid weight gain, yellowing of the skin or eyes (jaundice), memory problems, confusion, unusual behavior, unusual vaginal bleeding, lump in your breast, increased thirst, increased urination, dry mouth, and fruity breath odor Get medical help right away, if you have any of the symptoms listed above. Common side effects of Angeliq include: dizziness, lightheadedness, headache, stomach upset or pain, diarrhea, bloating, irritability, mood changes, changes in sleep patterns, nausea, weight gain, increased/decreased interest in sex, change in vaginal discharge, vaginal itching, irregular vaginal bleeding or spotting, swelling in your hands or feet, or breast pain or tenderness Seek medical care or call 911 at once if you have the following serious side effects:",https://www.rxlist.com/angeliq-drug.htm
Angiomax (Bivalirudin),bivalirudin,"Anticoagulants, Cardiovascular","The recommended dose of Angiomax is an intravenous (IV) bolus dose of 0.75 mg/kg, followed by an infusion of 1.75 mg/kg/h for the duration of the PCI/PTCA procedure. Five min. after the bolus dose has",Angiomax (bivalirudin) is a reversible direct thrombin inhibitor used to prevent blood clots in people with severe chest pain or other conditions undergoing a procedure called angioplasty (to open blocked arteries).,"Common side effects of Angiomax include: pain in the back or pelvis, nausea, vomiting, stomach pain or upset, restlessness, nervousness, anxiety, headache, fever, sleep problems (insomnia), or pain/bleeding/irritation where the injection was given. Seek medical care or call 911 at once if you have the following serious side effects: Serious eye symptoms such as sudden vision loss, blurred vision, tunnel vision, eye pain or swelling, or seeing halos around lights; Serious heart symptoms such as fast, irregular, or pounding heartbeats; fluttering in your chest; shortness of breath; and sudden dizziness, lightheadedness, or passing out; Severe headache, confusion, slurred speech, arm or leg weakness, trouble walking, loss of coordination, feeling unsteady, very stiff muscles, high fever, profuse sweating, or tremors. This document does not contain all possible side effects and others may occur. Check with your physician for additional information about side effects.",https://www.rxlist.com/angiomax-drug.htm
Angiomax RTU (Bivalirudin Injection),bivalirudin injection,"Antiplatelet Agents, Hematologic, Antiplatelet Agents, Hematologic, Anticoagulants, Cardiovascular",The recommended dosage of Angiomax RTU is a 0.75 mg/kg intravenous bolus dose followed immediately by a 1.75 mg/kg/h intravenous infusion for the duration of the procedure. Five minutes after the bolu,"Angiomax RTU (bivalirudin injection) is a direct thrombin inhibitor indicated for use as an anticoagulant in patients undergoing percutaneous coronary intervention (PCI), including patients with heparin-induced thrombocytopenia and heparin-induced thrombocytopenia and thrombosis syndrome.","Side effects of Angiomax RTU include: bleeding. Seek medical care or call 911 at once if you have the following serious side effects: Serious eye symptoms such as sudden vision loss, blurred vision,tunnel vision,eye painor swelling, or seeing halos around lights; Serious heart symptoms such as fast, irregular, or pounding heartbeats; fluttering in your chest; shortness of breath; and sudden dizziness, lightheadedness, or passing out; Severe headache,confusion, slurred speech, arm or leg weakness, trouble walking, loss of coordination, feeling unsteady, very stiff muscles, high fever, profuse sweating, or tremors. This document does not contain all possible side effects and others may occur. Check with your physician for additional information about side effects.",https://www.rxlist.com/angiomax-rtu-drug.htm
Anhydrous Morphine (Paregoric),anhydrous morphine,Opioid Analgesics,The usual adult dosage of Paregoric is 5 to 10 mL (1 to 2 tsp) 1 to 4 times a day. The usual pediatric dosage is 0.25 to 0.5 mL/kg of body weight 1 to 4 times a day.,Paregoric (anhydrous morphine) is a narcotic used to treat diarrhea.,"Common side effects of Paregoric include: lightheadedness, dizziness, drowsiness, tiredness, restlessness, nausea, vomiting, upset stomach, loss of appetite, constipation, increased sweating, or flushing (warmth, redness, or tingly feeling under your skin). Tell your doctor if you have serious side effects of Paregoric including: severe constipation, bloating, stomach cramps; urinating less than usual or not at all; fast, pounding, or uneven heartbeats; feeling like you might pass out; weak or shallow breathing; or seizures (convulsions). Seek medical care or call 911 at once if you have the following serious side effects: Serious eye symptoms such as sudden vision loss, blurred vision, tunnel vision, eye pain or swelling, or seeing halos around lights; Serious heart symptoms such as fast, irregular, or pounding heartbeats; fluttering in your chest; shortness of breath; and sudden dizziness, lightheadedness, or passing out; Severe headache, confusion, slurred speech, arm or leg weakness, trouble walking, loss of coordination, feeling unsteady, very stiff muscles, high fever, profuse sweating, or tremors.",https://www.rxlist.com/paregoric-drug.htm
Anidulafungin (Eraxis),anidulafungin,"Antifungals, Echinocandin, Antifungals, Systemic","The recommended dose of Eraxis to treat candidemia and other candida infections is a single 200 mg loading dose on Day 1, followed by 100 mg daily dose thereafter. The recommended dose to treat esopha","Eraxis (anidulafungin) is an antifungal antibiotic that treats candida (yeast) infections in the blood, or in the stomach or esophagus.","Common side effects of Eraxis include: flushing or hot flashes, dizziness, diarrhea, constipation, headache, nausea, vomiting, or injection site reactions (pain, swelling, or irritation). Tell your doctor if you have serious side effects of Eraxis including shortness of breath, dark urine, severe stomach or abdominal pain, yellowing eyes or skin, persistent nausea or vomiting, muscle weakness or spasm, vision changes, pain/redness/swelling of arms or legs, new signs of infection (e.g., fever, persistent sore throat), easy bruising or bleeding, fast/slow/irregular heartbeat, seizures, increased urination or thirst, or mental/mood changes. Seek medical care or call 911 at once if you have the following serious side effects: Serious eye symptoms such as sudden vision loss, blurred vision, tunnel vision, eye pain or swelling, or seeing halos around lights; Serious heart symptoms such as fast, irregular, or pounding heartbeats; fluttering in your chest; shortness of breath; and sudden dizziness, lightheadedness, or passing out; Severe headache, confusion, slurred speech, arm or leg weakness, trouble walking, loss of coordination, feeling unsteady, very stiff muscles, high fever, profuse sweating, or tremors. This document does not contain all possible side effects and others may occur. Check with your physician for additional information about side effects.",https://www.rxlist.com/eraxis-drug.htm
Anifrolumab-fnia Injection (Saphnelo),anifrolumab,,"The recommended dosage of SAPHNELO is: 300 mg, administered as an intravenous infusion over a 30-minute period every 4 weeks; or 120 mg, administered as a subcutaneous injection once every week.","Saphnelo (anifrolumab-fnia) is a type I interferon (IFN) receptor antagonist used to treat adult patients with moderate to severe systemic lupus erythematosus (SLE), who are receiving standard therapy.",,https://www.rxlist.com/saphnelo-drug.htm
Anisindione (Miradon),anisindione,"Anticoagulants, Cardiovascular","Initial dosage of Miradon Tablets is 300 mg the first day, 200 mg the second day, and 100 mg the third day.","Miradon (anisindione) is an anticoagulant used to prevent and treat venous thrombosis and its extension, the treatment of atrial fibrillation with embolization, the treatment of pulmonary embolism, and as an adjunct in the treatment of coronary occlusion. The brand name Miradon is discontinued, but generic versions may be available.","Miradon may cause serious side effects including: hives, difficulty breathing, swelling of your face, lips, tongue, or throat, dizziness, any bleeding that will not stop, joint pain, pain or discomfort, limited range of motion, pain (even occurring at rest), limping, and difficulty reaching overhead Get medical help right away, if you have any of the symptoms listed above. Common side effects of Miradon (anisindione) include: stomach upset or headache as your body adjusts to the medication nausea diarrhea fever skin irritation hives hair loss, or mouth sores Seek medical care or call 911 at once if you have the following serious side effects:",https://www.rxlist.com/miradon-drug.htm
Anjeso (Meloxicam Injection),meloxicam injection,NSAIDs,"The dose of of Anjeso is 30 mg once daily, administered by intravenous bolus injection over 15 seconds.","Anjeso (meloxicam) is a nonsteroidal anti-inflammatory drug (NSAID) used adults to manage moderate-to-severe pain, alone or in combination with non-NSAID analgesics.","Anjeso may cause serious side effects including: hives, difficulty breathing, swelling of your face, lips, tongue, or throat, fever, sore throat, burning eyes, skin pain, red or purple skin rash with blistering and peeling, chest pain that spreads to your jaw or shoulder, sudden numbness or weakness on one side of the body, slurred speech, leg swelling, shortness of breath, the first sign of any skin rash (no matter how mild), swelling or rapid weight gain, bloody or tarry stools, coughing up blood, vomit that looks like coffee grounds, nausea, upper stomach pain, itching, tiredness, flu-like symptoms, loss of appetite, dark urine, clay-colored stools, yellowing of the skin or eyes (jaundice), pale skin, unusual tiredness, lightheadedness, cold hands and feet, little or no urination, and swelling in your feet or ankles Get medical help right away, if you have any of the symptoms listed above. Side effects of Anjeso include: constipation, GGT increased, and anemia Seek medical care or call 911 at once if you have the following serious side effects:",https://www.rxlist.com/anjeso-drug.htm
"Anktiva (Nogapendekin Alfa Inbakicept-pmln Solution, for Intravesical Use)","nogapendekin alfa inbakicept-pmln solution, for intravesical use","Antineoplastics, Other",The dosage of Anktiva for induction is 400 mcg administered intravesically with BCG once a week for 6 weeks. A second induction course may be administered if complete response is not achieved at month,Anktiva (nogapendekin alfa inbakicept-pmln) is an interleukin-15 (IL-15) receptor agonist indicated with Bacillus Calmette-Guérin (BCG) for the treatment of adult patients with BCG-unresponsive nonmuscle invasive bladder cancer (NMIBC) with carcinoma in situ (CIS) with or without papillary tumors.,"Side effects of Anktiva include: painful urination, blood in urine, urinary frequency, urinary urgency, musculoskeletal pain, chills, fever, urinary tract infection (UTI), increased creatinine, and increased potassium. Seek medical care or call 911 at once if you have the following serious side effects: Serious eye symptoms such as sudden vision loss, blurred vision,tunnel vision,eye painor swelling, or seeing halos around lights; Serious heart symptoms such as fast, irregular, or pounding heartbeats; fluttering in your chest; shortness of breath; and sudden dizziness, lightheadedness, or passing out; Severe headache,confusion, slurred speech, arm or leg weakness, trouble walking, loss of coordination, feeling unsteady, very stiff muscles, high fever, profuse sweating, or tremors. This document does not contain all possible side effects and others may occur. Check with your physician for additional information about side effects.",https://www.rxlist.com/anktiva-drug.htm
Annovera (Segesterone Acetate and Ethinyl Estradiol Vaginal System),segesterone acetate and ethinyl estradiol vaginal system,Estrogens/Progestins,The dose of Annovera is one Annovera inserted in the vagina. The vaginal system must remain in place continuously for 3 weeks (21 days) followed by a 1-week (7-day) vaginal system-free interval. One A,Annovera (segesterone acetate and ethinyl estradiol vaginal system) is a progestin/estrogen combined hormonal contraceptive (CHC) indicated for use by females of reproductive potential to prevent pregnancy.,"Annovera may cause serious side effects including: hives, difficulty breathing, swelling of your face, lips, tongue, or throat, sudden severe headache, blurred vision, pounding in your neck or ears, sudden numbness or weakness (especially on one side of the body), problems with speech or vision, stabbing chest pain, shortness of breath, pain or numbness in one or both legs, chest pain or pressure, pain spreading to your jaw or shoulder, nausea, sweating, sudden fever, body aches, skin rash, vomiting, diarrhea, dizziness, lightheadedness, new headaches, change in pattern or severity of migraine headaches, yellowing of the skin or eyes (jaundice), mood changes, and thoughts of self-harm Get medical help right away, if you have any of the symptoms listed above. Common side effects of Annovera include: headache, migraine, nausea, vomiting, vaginal yeast infection, abdominal pain, menstrual cramps, vaginal discharge, urinary tract infection (UTI), breast tenderness/pain/discomfort, vaginal bleeding irregularities, diarrhea, and generalized itching Seek medical care or call 911 at once if you have the following serious side effects:",https://www.rxlist.com/annovera-drug.htm
Anoro Ellipta (Umeclidinium and Vilanterol Inhalation Powder),umeclidinium and vilanterol inhalation powder,"Respiratory Inhalant Combos, Anticholinergics, Respiratory, Beta2 Agonists, Respiratory Inhalant Combos",Anoro Ellipta is administered as 1 inhalation dose once daily by the orally inhaled route only.,"Anoro Ellipta (umeclidinium and vilanterol) Inhalation Powder is a combination anticholinergic and long acting beta-adrenoceptor agonist (LABA) used for the long-term, once-daily, maintenance treatment of airflow obstruction in patients with chronic obstructive pulmonary disease (COPD), including chronic bronchitis and/or emphysema.","Anoro Ellipta may cause serious side effects including: worsening difficulty breathing, wheezing, difficulty breathing, shortness of breath, sweating, nausea, vomiting, pain or discomfort in chest, indigestion, lightheadedness, fast heart rate, irregular heartbeat, high blood pressure, eye pain, blurred vision, seeing halos around lights, red eyes, swelling of the eye lids, painful urination, and little or no urination Get medical help right away, if you have any of the symptoms listed above. Common side effects of Anoro Ellipta include: sore throat, sinusitis, respiratory tract infection, constipation, diarrhea, pain in extremities, muscle spasms, neck pain, chest pain or discomfort, cough, indigestion, abdominal pain, gastroesophageal reflux disease (GERD), vomiting, weakness, irregular heart beats, itching, rash, conjunctivitis, palpitations, hypersensitivity reactions including anaphylaxis and hives, changes in taste, tremor, and anxiety. Seek medical care or call 911 at once if you have the following serious side effects:",https://www.rxlist.com/anoro-ellipta-drug.htm
Ansaid (Flurbiprofen),flurbiprofen,NSAIDs,"To treat signs and symptoms of rheumatoid arthritis or osteoarthritis, the recommended starting dose of Ansaid is 200 to 300 mg per day, divided into doses two, three, or four times a day. The largest",Ansaid (flurbiprofen) is a nonsteroidal anti-inflammatory drug (NSAID) used to treat pain or inflammation caused by arthritis. Ansaid is available in generic form.,"Common side effects of Ansaid include: upset stomach, stomach pain, constipation, diarrhea, gas, bloating, heartburn, nausea, vomiting, dizziness, drowsiness, fatigue, headache, nervousness, skin itching or rash, dry mouth, increased sweating, runny nose, blurred vision, or ringing in your ears. Tell your doctor if you have unlikely but serious side effects of Ansaid including: swelling of the hands or feet, sudden or unexplained weight gain, vision changes, mental/mood changes, fast or pounding heartbeat, persistent or severe headache, fainting, difficult or painful swallowing, or unusual tiredness. Ansaid may cause serious side effects including: hives, difficulty breathing, swelling of your face, lips, tongue, or throat, sneezing, wheezing, chest pain spreading to your jaw or shoulder, sudden numbness or weakness on one side of the body, slurred speech, shortness of breath, vision changes, skin rash (no matter how mild), swelling or rapid weight gain, bloody or tarry stools, coughing up blood, vomit that looks like coffee grounds, nausea, upper stomach pain, itching, tired feeling, loss of appetite, flu-like symptoms, dark urine, clay-colored stools, yellowing of the skin or eyes (jaundice), little or no urinating, painful or difficult urination, swelling in your feet or ankles, tiredness, pale skin, lightheadedness, rapid heart rate, trouble concentrating, fever, sore throat, burning in your eyes, and skin pain followed by a red or purple skin rash that spreads (especially in the face or upper body) and causes blistering and peeling",https://www.rxlist.com/ansaid-drug.htm
"Ansuvimab-zykl for Injection, for Intravenous Use (Ebanga)","ansuvimab-zykl for injection, for intravenous use",Monoclonal Antibodies,"The recommended dose of Ebanga for adult and pediatric patients is 50 mg/kg reconstituted, further diluted, and administered as a single intravenous infusion over 60 minutes.","Ebanga (ansuvimab-zykl) is a Zaire ebolavirus glycoprotein (EBOV GP)-directed human monoclonal antibody indicated for the treatment of infection caused by Zaire ebolavirus in adult and pediatric patients, including neonates born to a mother who is RT-PCR positive for Zaire ebolavirus infection.","Side effects of Ebanga include: fever, fast heart rate, diarrhea, vomiting, low blood pressure (hypotension), fast, shallow breathing, chills, and low blood oxygen Seek medical care or call 911 at once if you have the following serious side effects: Serious eye symptoms such as sudden vision loss, blurred vision, tunnel vision, eye pain or swelling, or seeing halos around lights; Serious heart symptoms such as fast, irregular, or pounding heartbeats; fluttering in your chest; shortness of breath; and sudden dizziness, lightheadedness, or passing out; Severe headache, confusion, slurred speech, arm or leg weakness, trouble walking, loss of coordination, feeling unsteady, very stiff muscles, high fever, profuse sweating, or tremors. This document does not contain all possible side effects and others may occur. Check with your physician for additional information about side effects.",https://www.rxlist.com/ebanga-drug.htm
"Ant, Fly, Cockroach, and Mosquito Allergenic Extracts (Insect Allergenic Extracts)","ant, fly, cockroach, and mosquito allergenic extracts",Allergen Immunotherapy,"The dosage of Ant, Fly, Cockroach, Mosquito Allergenic Extracts is dependent upon the purpose of the administration. Allergenic extracts can be administered for diagnostic use or for therapeutic use.","Ant, Fly, Cockroach, Mosquito Allergenic Extracts are indicated for use in diagnostic testing and as part of a treatment regime for allergic disease, as established by allergy history and skin test reactivity.","Insect Allergenic Extracts may cause serious side effects including: hives, difficulty breathing, swelling of your face, lips, tongue, or throat, generalized skin redness, itching, skin swelling, runny nose, wheezing, itching of nose and throat, shortness of breath, coughing, low blood pressure, and sweating Get medical help right away, if you have any of the symptoms listed above. Common side effects of Ant, Fly, Cockroach, Mosquito Allergenic Extracts include: injections site reactions: redness, itching, swelling, tenderness, and pain Serious systemic reactions include:",https://www.rxlist.com/insect-allergenic-extracts-drug.htm
Antabuse (Disulfiram),disulfiram,Psychiatry Agents Other,"In the first phase of treatment, a maximum of 500 mg of Antabuse daily is given in a single dose for one to two weeks. The average maintenance dose of Antabuse is 250 mg daily (range, 125 to 500 mg),",Antabuse (disulfiram) is an alcohol antagonist drug used to treat chronic alcoholism. Antabuse is available in generic form.,"Antabuse may cause serious side effects including: eye pain or sudden vision loss, unusual thoughts or behavior, upper stomach pain, itching, loss of appetite, dark urine, clay-colored stools, yellowing of the skin or eyes (jaundice), flushing (warmth, redness or tingly feeling), sweating, increased thirst, swelling, rapid weight gain, nausea, severe vomiting, neck pain, throbbing headache, blurred vision, chest pain, shortness of breath, fast or pounding heartbeats, fluttering in your chest, confusion, weakness, spinning sensation, feeling unsteady, and lightheadedness Get medical help right away, if you have any of the symptoms listed above. Common side effects of Antabuse include: drowsiness, tiredness, headache, metallic or garlic-like taste in the mouth, skin rash or acne, impotence, and swollen or sore tongue. Tell your doctor if you have a unlikely but serious side effects of Antabuse including:",https://www.rxlist.com/antabuse-drug.htm
Antara (Fenofibrate),fenofibrate,"Fibric Acid Agents, Peroxisome Proliferator Activated Receptor (PPAR) Agonists",The adult starting dose of Antara to treat primary hypercholesterolemia or mixed hyperlipidemia is 130 mg per day. The adult starting dose of Antara to treat hypertriglyceridemia is 43 to 130 mg per d,Antara (fenofibrate) is a lipid-regulating agent called a fibrate used to treat high cholesterol and high triglyceride levels. Antara is available in generic form. Many people using Antara do not have serious side effects.,"Antara may cause serious side effects including: sharp stomach pain spreading to your back or shoulder blade, loss of appetite, stomach pain just after eating a meal, yellowing of the skin or eyes (jaundice), fever, chills, weakness, sore throat, mouth sores, unusual bruising or bleeding, chest pain, sudden cough, wheezing, rapid breathing, coughing up blood, and swelling, warmth or redness in an arm or leg Get medical help right away, if you have any of the symptoms listed above. Side effects of Antara may include: stomach pain, back pain, headache, or runny or stuffy nose. Antara may infrequently cause gallstones and liver problems. Tell your doctor if you notice unlikely but serious side effects of Antara such as:",https://www.rxlist.com/antara-drug.htm
Anthim (Obiltoxaximab Intravenous Infusion),obiltoxaximab intravenous infusion,"Antidotes, Other",The recommended dosage of Anthim is based on the patient's body weight.,"Anthim (obiltoxaximab) injection is a monoclonal antibody directed against the protective antigen of Bacillus anthracis indicated in adult and pediatric patients for treatment of inhalational anthrax due to B. anthracis in combination with appropriate antibacterial drugs and, for prophylaxis of inhalational anthrax when alternative therapies are not available or are not appropriate.","Anthim may cause serious side effects including: hives, difficulty breathing, swelling of your face, lips, tongue, or throat, headache, body aches or pain, ear congestion, chills, fever, sore throat, sneezing, runny nose, nasal congestion, loss of your voice, pain in the arms or legs, bone pain, dry mouth, muscle aching or cramping, muscle pains or stiffness, swollen joints, difficulty moving, and pain, bruising or swelling at the injection site Get medical help right away, if you have any of the symptoms listed above. Common side effects of Anthim include: headache itching upper respiratory tract infection cough vessel puncture site bruise infusion site pain or swelling stuffy nose hives, and pain in extremities",https://www.rxlist.com/anthim-drug.htm
